"","queenstrength","wkrdrnratio","drnmitesurvive","wkrmitesurvive","fgrlifespan","miteimmtype"
"1",4.97998163476586,2.94522941671312,34.6231915056705,96.3842020137236,15.1194569291547,"Tangent"
"2",1.67568622622639,4.36677708290517,56.2059535179287,74.7152269817889,5.99956937786192,"Tangent"
"3",4.00833798665553,2.143693998456,82.3245275532827,39.6244279574603,13.4920487208292,"Logarithmic"
"4",3.352624213323,3.90920395869762,45.5414373427629,53.0132123501971,9.2207351885736,"Polynomial"
"5",3.70702727884054,3.9913524761796,71.278736460954,92.4469983670861,5.565399707295,"Logarithmic"
"6",4.85850433073938,4.31684194784611,28.0838489532471,88.4890340734273,4.58689754083753,"Sine"
"7",3.661003196612,3.87974964082241,6.54725220520049,21.7463621636853,8.62411125656217,"Tangent"
"8",4.47398189362139,1.66611063852906,93.1854313239455,29.2489766608924,5.14567198883742,"Tangent"
"9",2.11218789871782,3.1054773228243,12.0035919826478,67.8189852740616,12.8500860463828,"Sine"
"10",2.14269251935184,3.93804832920432,89.5024058176205,37.5589996110648,4.35590510815382,"Logarithmic"
